Rank,Keyword,Monthly Vol,CPC,Score,Competitor Sources,Example Competitor URL,Build Slug
68,"roth ira for adult children custodial benefits",0,0,0,1,"https://www.tiaa.org/public/invest/services/wealth-management/perspectives/roth-ira-for-adult-children-custodial-benefits","/roth-ira-for-adult-children-custodial-benefits"
69,"turning your tiaa traditional into income 1694389",0,0,0,1,"https://www.tiaa.org/public/land/turning-your-tiaa-traditional-into-income_1694389","/turning-your-tiaa-traditional-into-income-1694389"
70,"how to pay off your mortgage early",0,2.16,0,1,"https://www.fidelity.com/learning-center/life-events/how-to-pay-off-your-mortgage-early","/how-to-pay-off-your-mortgage-early"
71,"what to do with an inherited ira",0,1.19,0,1,"https://www.fidelity.com/learning-center/life-events/what-to-do-with-an-inherited-ira","/what-to-do-with-an-inherited-ira"
72,"social security tax torpedo and hidden taxes",0,0,0,1,"https://www.fidelity.com/learning-center/personal-finance/social-security-tax-torpedo-and-hidden-taxes","/social-security-tax-torpedo-and-hidden-taxes"
73,"what to consider after maxing out 401k",0,0,0,1,"https://www.fidelity.com/learning-center/personal-finance/what-to-consider-after-maxing-out-401k","/what-to-consider-after-maxing-out-401k"
74,"what happens to 401k when you die",0,0.36,0,1,"https://www.fidelity.com/learning-center/smart-money/what-happens-to-401k-when-you-die","/what-happens-to-401k-when-you-die"
75,"what is long term capital gains tax",0,3.12,0,1,"https://www.fidelity.com/learning-center/smart-money/what-is-long-term-capital-gains-tax","/what-is-long-term-capital-gains-tax"
76,"what to do with your tax refund",0,0,0,1,"https://www.fidelity.com/learning-center/smart-money/what-to-do-with-your-tax-refund","/what-to-do-with-your-tax-refund"
77,"who can contribute to a roth ira",0,1.42,0,1,"https://www.fidelity.com/learning-center/smart-money/who-can-contribute-to-a-roth-ira","/who-can-contribute-to-a-roth-ira"
78,"fresh invest podcast actively seeking passive income",0,0,0,1,"https://www.fidelity.com/learning-center/trading-investing/fresh-invest-podcast-actively-seeking-passive-income","/fresh-invest-podcast-actively-seeking-passive-income"
79,"what is short term capital gains tax",0,1.13,0,1,"https://www.fidelity.com/learning-center/trading-investing/what-is-short-term-capital-gains-tax","/what-is-short-term-capital-gains-tax"
80,"earn too much contribute roth ira conversion",0,0,0,1,"https://www.fidelity.com/viewpoints/retirement/earn-too-much-contribute-roth-ira-conversion","/earn-too-much-contribute-roth-ira-conversion"
81,"how much do i need to retire",0,2.45,0,1,"https://www.fidelity.com/viewpoints/retirement/how-much-do-i-need-to-retire","/how-much-do-i-need-to-retire"
82,"what to do with an old 401k",0,4.33,0,1,"https://www.fidelity.com/viewpoints/retirement/what-to-do-with-an-old-401k","/what-to-do-with-an-old-401k"
83,"common tax mistakes for investors to avoid",0,0,0,1,"https://www.ameriprise.com/financial-goals-priorities/taxes/common-tax-mistakes-for-investors-to-avoid","/common-tax-mistakes-for-investors-to-avoid"
84,"mortgage for purchase price and down payment",0,0,0,1,"https://www.ameriprise.com/financial-news-research/financial-calculators/mortgage-for-purchase-price-and-down-payment","/mortgage-for-purchase-price-and-down-payment"
85,"roth ira conversion calculator",0,2.84,0,2,"http://www.calcxml.com/calculators/roth-ira-conversion-calculator","/roth-ira-conversion-calculator"
86,"debt to income calculator",0,2.01,0,2,"https://www.wellsfargo.com/es/goals-credit/debt-to-income-calculator/","/debt-to-income-calculator"
87,"how to retire early",0,2.86,0,2,"https://www.fidelity.com/learning-center/personal-finance/how-to-retire-early","/how-to-retire-early"
88,"what is a 401k",0,6.21,0,2,"https://www.fidelity.com/learning-center/smart-money/what-is-a-401k","/what-is-a-401k"
89,"net investment income tax",0,0.8,0,2,"https://www.fidelity.com/learning-center/trading-investing/net-investment-income-tax","/net-investment-income-tax"
90,"what first time payroll employees make",0,0,0,1,"https://www.paycheckcity.com/insights/what-first-time-payroll-employees-make","/what-first-time-payroll-employees-make"
91,"2016 tax changes hit paycheckcity calculators",0,0,0,1,"https://www.paycheckcity.com/insights/2016-tax-changes-hit-paycheckcity-calculators","/2016-tax-changes-hit-paycheckcity-calculators"
92,"get ready for national payroll week",0,0,0,1,"https://www.paycheckcity.com/insights/get-ready-for-national-payroll-week","/get-ready-for-national-payroll-week"
93,"the 12 best places to retire",0,0,0,1,"https://www.paycheckcity.com/insights/the-12-best-places-to-retire","/the-12-best-places-to-retire"
94,"social security wage base increase 2015",0,0,0,1,"https://www.paycheckcity.com/insights/social-security-wage-base-increase-2015","/social-security-wage-base-increase-2015"
95,"the funny side of tax season",0,0,0,1,"https://www.paycheckcity.com/insights/the-funny-side-of-tax-season","/the-funny-side-of-tax-season"
96,"wyoming state tax information for 2016",0,0,0,1,"https://www.paycheckcity.com/insights/wyoming-state-tax-information-for-2016","/wyoming-state-tax-information-for-2016"
97,"should i adjust my payroll withholdings",0,0,0,1,"http://www.calcxml.com/calculators/should-i-adjust-my-payroll-withholdings","/should-i-adjust-my-payroll-withholdings"
98,"529 plan benefits beyond tax advantages",0,0,0,1,"https://www.tiaa.org/public/retire/life-essentials/saving-for-education/529-plan-benefits-beyond-tax-advantages","/529-plan-benefits-beyond-tax-advantages"
99,"year end tax planning strategies 2024",0,0,0,1,"https://www.tiaa.org/public/invest/services/wealth-management/perspectives/year-end-tax-planning-strategies-2024","/year-end-tax-planning-strategies-2024"
100,"last minute tax tips and strategies",0,0,0,1,"https://www.tiaa.org/public/invest/services/wealth-management/perspectives/last-minute-tax-tips-and-strategies","/last-minute-tax-tips-and-strategies"
101,"how to increase social security income",0,0,0,1,"https://www.tiaa.org/public/invest/services/wealth-management/perspectives/how-to-increase-social-security-income","/how-to-increase-social-security-income"
102,"building retirement savings lifetime income strategy",0,0,0,1,"https://www.tiaa.org/public/learn/financial-essentials/building-retirement-savings-lifetime-income-strategy","/building-retirement-savings-lifetime-income-strategy"
103,"credit score debt to income basics",0,0,0,1,"https://www.tiaa.org/public/learn/financial-essentials/early-career-financial-security-guide/credit-score-debt-to-income-basics","/credit-score-debt-to-income-basics"
104,"income security third age concepts and",0,0,0,1,"https://www.tiaa.org/public/institute/publication/1997/income-security-third-age-concepts-and","/income-security-third-age-concepts-and"
105,"should social security rely solely payroll",0,0,0,1,"https://www.tiaa.org/public/institute/publication/2009/should-social-security-rely-solely-payroll","/should-social-security-rely-solely-payroll"
106,"social security claiming widow poverty risk",0,0,0,1,"https://www.tiaa.org/public/institute/publication/2026/social-security-claiming-widow-poverty-risk","/social-security-claiming-widow-poverty-risk"
107,"lifetime income options defined contribution plans",0,0,0,1,"https://www.tiaa.org/public/b2b/thought-leadership/modernizing-the-default/lifetime-income-options-defined-contribution-plans","/lifetime-income-options-defined-contribution-plans"
108,"annuities benefits retirement happiness guaranteed income",0,0,0,1,"https://www.tiaa.org/public/invest/services/wealth-management/perspectives/annuities-benefits-retirement-happiness-guaranteed-income","/annuities-benefits-retirement-happiness-guaranteed-income"
109,"benefits of paying off mortgage early",0,1.59,0,1,"https://www.tiaa.org/public/learn/personal-finance-101/benefits-of-paying-off-mortgage-early","/benefits-of-paying-off-mortgage-early"
110,"ways to maximize your retirement income",0,0,0,1,"https://www.tiaa.org/public/learn/retirement-planning-and-beyond/ways-to-maximize-your-retirement-income","/ways-to-maximize-your-retirement-income"
111,"protect retirement income from healthcare costs",0,0,0,1,"https://www.tiaa.org/public/learn/prepare-unexpected/protect-retirement-income-from-healthcare-costs","/protect-retirement-income-from-healthcare-costs"
112,"qualify for traditional and roth ira",0,0,0,1,"https://www.tiaa.org/public/learn/tools/iraselector/qualify-for-traditional-and-roth-ira","/qualify-for-traditional-and-roth-ira"
113,"financial and tax benefits of marriage",0,0,0,1,"https://www.fidelity.com/learning-center/life-events/financial-and-tax-benefits-of-marriage","/financial-and-tax-benefits-of-marriage"
114,"do you have enough to retire",0,1.26,0,1,"https://www.fidelity.com/learning-center/money-unscripted/do-you-have-enough-to-retire","/do-you-have-enough-to-retire"
115,"401k catch up contributions high earners",0,0,0,1,"https://www.fidelity.com/learning-center/personal-finance/401k-catch-up-contributions-high-earners","/401k-catch-up-contributions-high-earners"
116,"best states to retire for taxes",0,1.23,0,1,"https://www.fidelity.com/learning-center/personal-finance/best-states-to-retire-for-taxes","/best-states-to-retire-for-taxes"
117,"can you retire with one million",0,0,0,1,"https://www.fidelity.com/learning-center/personal-finance/can-you-retire-with-one-million","/can-you-retire-with-one-million"
118,"how to invest an inherited ira",0,1.78,0,1,"https://www.fidelity.com/learning-center/personal-finance/retirement/how-to-invest-an-inherited-ira","/how-to-invest-an-inherited-ira"
119,"trump account to roth ira conversion",0,0,0,1,"https://www.fidelity.com/learning-center/personal-finance/trump-account-to-roth-ira-conversion","/trump-account-to-roth-ira-conversion"
120,"what is the estate tax exemption",0,3.28,0,1,"https://www.fidelity.com/learning-center/personal-finance/what-is-the-estate-tax-exemption","/what-is-the-estate-tax-exemption"
121,"child and dependent care tax credit",0,0,0,1,"https://www.fidelity.com/learning-center/smart-money/child-and-dependent-care-tax-credit","/child-and-dependent-care-tax-credit"
122,"how to file a tax extension",0,7.97,0,1,"https://www.fidelity.com/learning-center/smart-money/how-to-file-a-tax-extension","/how-to-file-a-tax-extension"
123,"i need my 401k money now",0,28.71,0,1,"https://www.fidelity.com/learning-center/smart-money/i-need-my-401k-money-now","/i-need-my-401k-money-now"
124,"what is a solo roth 401k",0,0.8,0,1,"https://www.fidelity.com/learning-center/smart-money/what-is-a-solo-roth-401k","/what-is-a-solo-roth-401k"
125,"who can open a roth ira",0,3.6,0,1,"https://www.fidelity.com/learning-center/smart-money/who-can-open-a-roth-ira","/who-can-open-a-roth-ira"
126,"what is a crypto ira video",0,0,0,1,"https://www.fidelity.com/learning-center/trading-investing/crypto/what-is-a-crypto-ira-video","/what-is-a-crypto-ira-video"
127,"how to open a roth ira",0,10.98,0,1,"https://www.fidelity.com/learning-center/trading-investing/how-to-open-a-roth-ira","/how-to-open-a-roth-ira"
128,"how to open a traditional ira",0,14.5,0,1,"https://www.fidelity.com/learning-center/trading-investing/how-to-open-a-traditional-ira","/how-to-open-a-traditional-ira"
129,"can you leave ira to trust",0,0,0,1,"https://www.fidelity.com/learning-center/wealth-management-insights/can-you-leave-ira-to-trust","/can-you-leave-ira-to-trust"
130,"prior year tax exempt income information",0,0,0,1,"https://www.fidelity.com/tax-information/prior-year-tax-exempt-income-information","/prior-year-tax-exempt-income-information"
131,"managing your tax loss with sectors",0,0,0,1,"https://www.fidelity.com/viewpoints/active-investor/managing-your-tax-loss-with-sectors","/managing-your-tax-loss-with-sectors"
132,"estate tax and transfers to spouses",0,0,0,1,"https://www.fidelity.com/viewpoints/wealth-management/insights/estate-tax-and-transfers-to-spouses","/estate-tax-and-transfers-to-spouses"
133,"lifetime gift and estate tax exclusions",0,0,0,1,"https://www.fidelity.com/viewpoints/wealth-management/insights/lifetime-gift-and-estate-tax-exclusions","/lifetime-gift-and-estate-tax-exclusions"
134,"how to manage student loan debt",0,9.49,0,1,"https://www.ameriprise.com/financial-goals-priorities/personal-finance/how-to-manage-student-loan-debt","/how-to-manage-student-loan-debt"
135,"should you pay off your mortgage",0,0.73,0,1,"https://www.ameriprise.com/financial-goals-priorities/personal-finance/should-you-pay-off-your-mortgage","/should-you-pay-off-your-mortgage"
136,"one big beautiful bill tax cuts",0,0,0,1,"https://www.ameriprise.com/financial-goals-priorities/taxes/one-big-beautiful-bill-tax-cuts","/one-big-beautiful-bill-tax-cuts"
137,"roth ira vs traditional ira calculator",0,2.45,0,1,"https://www.ameriprise.com/financial-news-research/financial-calculators/roth-ira-vs-traditional-ira-calculator","/roth-ira-vs-traditional-ira-calculator"
138,"ira rollover calculator",0,3.81,0,2,"http://www.calcxml.com/calculators/ira-rollover-calculator","/ira-rollover-calculator"
139,"retirement income sources",0,6.96,0,2,"https://www.tiaa.org/public/education/essentials/annuitization/retirement-income-sources","/retirement-income-sources"
140,"self employment tax",0,7.6,0,2,"https://www.fidelity.com/learning-center/life-events/self-employment-tax","/self-employment-tax"
141,"social security myths",0,0.28,0,2,"https://www.fidelity.com/viewpoints/retirement/social-security-myths","/social-security-myths"
142,"your go to payroll glossary",0,0,0,1,"https://www.paycheckcity.com/insights/your-go-to-payroll-glossary","/your-go-to-payroll-glossary"
143,"the basics of medicare tax",0,0,0,1,"https://www.paycheckcity.com/insights/the-basics-of-medicare-tax","/the-basics-of-medicare-tax"
144,"state local federal income tax",0,0,0,1,"https://www.paycheckcity.com/insights/state-local-federal-income-tax","/state-local-federal-income-tax"
145,"w2 vs w3 tax forms",0,0,0,1,"https://www.paycheckcity.com/insights/w2-vs-w3-tax-forms","/w2-vs-w3-tax-forms"
146,"what is self employment tax",0,1.53,0,1,"https://www.paycheckcity.com/insights/what-is-self-employment-tax","/what-is-self-employment-tax"
147,"new year irs tax updates",0,0,0,1,"https://www.paycheckcity.com/insights/new-year-irs-tax-updates","/new-year-irs-tax-updates"
148,"telecommuting and employee state income",0,0,0,1,"https://www.paycheckcity.com/insights/telecommuting-and-employee-state-income","/telecommuting-and-employee-state-income"
149,"what is an auto ira",0,0,0,1,"https://www.paycheckcity.com/insights/what-is-an-auto-ira","/what-is-an-auto-ira"
150,"payroll tax vs income tax",0,26.13,0,1,"https://www.paycheckcity.com/insights/payroll-tax-vs-income-tax","/payroll-tax-vs-income-tax"
151,"what is a tax turtle",0,0,0,1,"https://www.paycheckcity.com/insights/what-is-a-tax-turtle","/what-is-a-tax-turtle"
152,"celebrate payroll and be recognized",0,0,0,1,"https://www.paycheckcity.com/insights/celebrate-payroll-and-be-recognized","/celebrate-payroll-and-be-recognized"
153,"what you have always wondered about 2016 arkansas state taxes",0,0,0,1,"https://www.paycheckcity.com/insights/what-you-have-always-wondered-about-2016-arkansas-state-taxes","/what-you-have-always-wondered-about-2016-arkansas-state-taxes"
154,"what do state taxes look like in colorado for 2016",0,0,0,1,"https://www.paycheckcity.com/insights/what-do-state-taxes-look-like-in-colorado-for-2016","/what-do-state-taxes-look-like-in-colorado-for-2016"
155,"a look at the most important 2016 alaska state taxes",0,0,0,1,"https://www.paycheckcity.com/insights/a-look-at-the-most-important-2016-alaska-state-taxes","/a-look-at-the-most-important-2016-alaska-state-taxes"
156,"everything you need to know about utah 2016 state taxes",0,0,0,1,"https://www.paycheckcity.com/insights/everything-you-need-to-know-about-utah-2016-state-taxes","/everything-you-need-to-know-about-utah-2016-state-taxes"
157,"what new jersey residents must pay in 2016 state taxes",0,0,0,1,"https://www.paycheckcity.com/insights/what-new-jersey-residents-must-pay-in-2016-state-taxes","/what-new-jersey-residents-must-pay-in-2016-state-taxes"
158,"alabama 2016 state taxes and requirements and more oh my",0,0,0,1,"https://www.paycheckcity.com/insights/alabama-2016-state-taxes-and-requirements-and-more-oh-my","/alabama-2016-state-taxes-and-requirements-and-more-oh-my"
159,"fixed or adjustable rate mortgage",0,10.22,0,1,"http://www.calcxml.com/calculators/fixed-or-adjustable-rate-mortgage","/fixed-or-adjustable-rate-mortgage"
160,"how much can i borrow from my home equity heloc",0,0,0,1,"http://www.calcxml.com/calculators/how-much-can-i-borrow-from-my-home-equity-heloc","/how-much-can-i-borrow-from-my-home-equity-heloc"
